ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
ŋ ɡ	12.46	579	773	1301	0.0
n d	4.96	352	987	947	0.0
m b	2.55	246	1012	878	0.0
n ɟ	2.32	176	987	505	0.0
r k	0.06	52	1230	1478	0.0
m k	0.04	41	1012	1478	0.0
m s	0.03	22	1012	578	0.0
r m	0.03	31	1230	1012	0.0
r ɡ	0.03	35	1230	1301	0.0
r b	0.02	24	1230	878	0.0
r w	0.02	14	1230	319	0.0
m t	0.01	18	1012	809	0.0
l b	0.01	17	832	878	0.0
n k	0.01	24	987	1478	0.0
l m	0.01	18	832	1012	0.0
l ɓ	0.01	8	832	208	0.008
r ɓ	0.01	9	1230	208	0.004
l k	0.01	19	832	1478	0.0
m n	0.01	16	1012	987	0.0
j m	0.01	12	638	1012	0.0
n h	0.01	5	987	114	0.062
l d	0.01	13	832	947	0.0
n t	0.01	13	987	809	0.0
r p	0.01	8	1230	264	0.008
w s	0.01	6	319	578	0.031
n b	0.01	13	987	878	0.0
j t	0.01	10	638	809	0.002
j ɡ	0.01	12	638	1301	0.0
r ŋ	0.01	12	1230	773	0.0
r n	0.0	12	1230	987	0.0
r s	0.0	9	1230	578	0.004
r ɟ	0.0	8	1230	505	0.008
r j	0.0	8	1230	638	0.008
r t	0.0	9	1230	809	0.004
j d	0.0	7	638	947	0.016
l ɡ	0.0	9	832	1301	0.004
l p	0.0	4	832	264	0.125
m ɟ	0.0	6	1012	505	0.031
j ɓ	0.0	3	638	208	0.25
j b	0.0	6	638	878	0.031
m ŋ	0.0	7	1012	773	0.016
r l	0.0	8	1230	832	0.008
j n	0.0	6	638	987	0.031
r d	0.0	8	1230	947	0.008
w d	0.0	4	319	947	0.125
j k	0.0	7	638	1478	0.016
n m	0.0	7	987	1012	0.016
m ɡ	0.0	8	1012	1301	0.008
m m	0.0	7	1012	1012	0.016
n ŋ	0.0	6	987	773	0.031
l j	0.0	5	832	638	0.062
l n	0.0	6	832	987	0.031
m d	0.0	6	1012	947	0.031
n n	0.0	6	987	987	0.031
n ɗ	0.0	2	987	120	0.5
m p	0.0	3	1012	264	0.25
m ɗ	0.0	2	1012	120	0.5
j ŋ	0.0	4	638	773	0.125
r h	0.0	2	1230	114	0.5
s p	0.0	2	578	264	0.5
w ɗ	0.0	1	319	120	1.0
n j	0.0	4	987	638	0.125
j s	0.0	3	638	578	0.25
ɡ t	0.0	5	1301	809	0.062
j j	0.0	3	638	638	0.25
ɡ b	0.0	5	1301	878	0.062
w ɡ	0.0	3	319	1301	0.25
j r	0.0	4	638	1230	0.125
w j	0.0	2	319	638	0.5
n ɓ	0.0	2	987	208	0.5
w k	0.0	3	319	1478	0.25
ɡ k	0.0	6	1301	1478	0.031
j l	0.0	3	638	832	0.25
ɡ ɡ	0.0	5	1301	1301	0.062
l ŋ	0.0	3	832	773	0.25
m j	0.0	3	1012	638	0.25
j h	0.0	1	638	114	1.0
k t	0.0	4	1478	809	0.125
l t	0.0	3	832	809	0.25
p r	0.0	2	264	1230	0.5
ɡ s	0.0	3	1301	578	0.25
w p	0.0	1	319	264	1.0
ɡ j	0.0	3	1301	638	0.25
l ɗ	0.0	1	832	120	1.0
ɡ r	0.0	4	1301	1230	0.125
ɡ w	0.0	2	1301	319	0.5
t r	0.0	3	809	1230	0.25
m h	0.0	1	1012	114	1.0
s t	0.0	2	578	809	0.5
b r	0.0	3	878	1230	0.25
l s	0.0	2	832	578	0.5
ɡ l	0.0	3	1301	832	0.25
ɡ n	0.0	3	1301	987	0.25
ɡ m	0.0	3	1301	1012	0.25
r ɗ	0.0	1	1230	120	1.0
ɡ ɟ	0.0	2	1301	505	0.5
l l	0.0	2	832	832	0.5
b t	0.0	2	878	809	0.5
s w	0.0	1	578	319	1.0
k r	0.0	3	1478	1230	0.25
j w	0.0	1	638	319	1.0
p t	0.0	1	264	809	1.0
w t	0.0	1	319	809	1.0
w l	0.0	1	319	832	1.0
l w	0.0	1	832	319	1.0
n r	0.0	2	987	1230	0.5
ɡ d	0.0	2	1301	947	0.5
m r	0.0	2	1012	1230	0.5
w n	0.0	1	319	987	1.0
n w	0.0	1	987	319	1.0
r r	0.0	2	1230	1230	0.5
w r	0.0	1	319	1230	1.0
l ɟ	0.0	1	832	505	1.0
n s	0.0	1	987	578	1.0
t n	0.0	1	809	987	1.0
n l	0.0	1	987	832	1.0
m l	0.0	1	1012	832	1.0
s k	0.0	1	578	1478	1.0
d r	0.0	1	947	1230	1.0
